Month,HRV_mean,HRV_median,RHR_mean,Recovery_mean,Sleep_hours
2024-04,15.6,14.0,83.1,22.3,6.5
2024-05,,,,,
2024-06,14.2,15.0,88.7,19.8,5.2
2024-07,16.5,14.5,89.2,22.8,3.9
2024-08,,,,,
2024-09,,,,,
2024-10,28.9,25.0,83.7,29.6,4.4
2024-11,21.1,19.0,84.9,36.8,7.8
2024-12,24.7,24.0,83.1,37.7,8.8
2025-01,26.9,24.0,83.0,35.9,7.0
2025-02,18.0,18.0,80.5,21.2,3.7
2025-03,17.3,14.0,90.3,6.0,9.8
2025-04,16.4,17.0,84.6,26.0,6.8
2025-05,20.0,20.0,80.5,15.5,1.7
2025-06,28.2,28.0,78.9,45.0,5.9
2025-07,29.6,31.0,74.5,54.0,6.8
2025-08,29.8,29.0,72.1,57.3,7.6
2025-09,25.9,25.0,75.8,38.0,7.2
2025-10,26.0,25.0,77.8,51.1,6.8
2025-11,22.2,22.0,79.7,46.8,8.1
2025-12,18.5,16.5,87.5,34.7,7.9
2026-01,15.6,15.0,92.9,41.1,7.2
2026-02,13.3,13.0,92.9,49.1,7.9
2026-03,26.5,21.0,87.7,55.2,9.3
